,city,country,lat,lon,max_temp (F),humidity (%),cloudiness (%),wind_speed (mph),date
384,Ixtapa,MX,20.7,-105.2,85.23,74,75,11.5,1627956612
385,Rio Grande,BR,-32.035,-52.0986,49.95,96,0,7.18,1627956616
386,Pingliang,CN,35.5392,106.6861,74.73,53,95,12.68,1627956624
387,Kostomuksha,RU,64.571,30.5767,54.9,99,100,7.43,1627956634
388,Iringa,TZ,-7.7667,35.7,49.5,90,0,5.55,1627956638
390,Peace River,CA,56.2501,-117.286,77.31,69,90,4.61,1627957586
391,Guarujá,BR,-23.9931,-46.2564,68.16,26,45,4.18,1627957592
392,Pevek,RU,69.7008,170.3133,35.19,84,100,17.85,1627957596
393,Florø,NO,61.5996,5.0328,51.96,72,4,10.65,1627957598
394,Ust'-Kut,RU,56.7938,105.7672,62.74,65,100,3.89,1627957607
395,Gwadar,PK,25.1216,62.3254,81.54,80,80,7.4,1627957608
396,Paramonga,PE,-10.6667,-77.8333,63.7,86,25,11.05,1627957617
397,Sabzawār,IR,36.2126,57.6819,76.59,18,1,9.71,1627957624
398,Santa Cruz,CR,10.2605,-85.5851,75.56,93,100,3.98,1627957626
399,Shalakusha,RU,62.2247,40.2539,59.72,98,100,11.43,1627957627
